"","sample","Sdiv_ptg000009l_0614-R","Sdiv_ptg000010l_2315-R","Pop","Vern","group"
"67","kc2.13_i1",5.62938307808952,4.26313878361413,"kc2","i1","i1_kc2"
"68","kc2.13_i2",4.99520267685903,3.89439325813184,"kc2","i2","i2_kc2"
"69","kc2.13_v0",4.57232179392432,4.32553024875717,"kc2","v0","v0_kc2"
"70","kc2.13_v2",4.96751697096085,3.9945538422422,"kc2","v2","v2_kc2"
"71","kc2.23_i0",5.16181129722441,3.84867522394515,"kc2","i0","i0_kc2"
"72","kc2.23_i1",4.86301967211561,4.36641332498817,"kc2","i1","i1_kc2"
"73","kc2.23_i2",5.67673807887085,3.62198385614954,"kc2","i2","i2_kc2"
"74","kc2.23_v0",5.18890561432535,3.46241241979554,"kc2","v0","v0_kc2"
"75","kc2.23_v1",5.16221518472493,4.80623207955583,"kc2","v1","v1_kc2"
"76","lv3.04_i0",5.07683205772512,5.15632706519413,"lv3","i0","i0_lv3"
"77","lv3.04_i1",5.18630411702897,5.11728141736584,"lv3","i1","i1_lv3"
"78","lv3.04_i2",-0.976868150869323,-0.25939809720993,"lv3","i2","i2_lv3"
"79","lv3.04_v0",6.09696963081816,5.07024877791012,"lv3","v0","v0_lv3"
"80","lv3.04_v1",4.82437698347189,4.79316081411099,"lv3","v1","v1_lv3"
"81","lv3.04_v2",5.2508800225291,4.52163876670689,"lv3","v2","v2_lv3"
"82","lv3.08_i0",4.99807669509359,4.79735332973135,"lv3","i0","i0_lv3"
"83","lv3.08_i1",5.2784328156547,4.90388615094762,"lv3","i1","i1_lv3"
"84","lv3.08_v0",6.22633256440646,5.06326358637199,"lv3","v0","v0_lv3"
"85","lv3.08_v1",5.12163072585967,5.13730867087601,"lv3","v1","v1_lv3"
"86","lv3.15_i0",5.94013314787254,4.80960087706929,"lv3","i0","i0_lv3"
"87","lv3.15_i1",5.84459860028152,5.10883103390458,"lv3","i1","i1_lv3"
"88","lv3.15_v0",4.67528464473435,6.10135349182294,"lv3","v0","v0_lv3"
"89","lv3.15_v1",4.92974287449233,5.74682763130777,"lv3","v1","v1_lv3"
"90","lv3.16_i0",4.93176698779904,4.6560268015485,"lv3","i0","i0_lv3"
"91","lv3.16_i1",5.30757335937955,5.24010040920433,"lv3","i1","i1_lv3"
"92","lv3.16_i2",4.26214541560139,3.9288363899143,"lv3","i2","i2_lv3"
"93","lv3.16_v0",6.14871415631559,4.65097182160498,"lv3","v0","v0_lv3"
"94","lv3.16_v1",5.74444281876825,5.48621892221048,"lv3","v1","v1_lv3"
"95","lv3.16_v2",-0.824128600466634,4.97792377431061,"lv3","v2","v2_lv3"
"96","lv3.23_i0",5.29204627152432,4.51534683005176,"lv3","i0","i0_lv3"
"97","lv3.23_i1",5.10449094840694,4.38397545480264,"lv3","i1","i1_lv3"
"98","lv3.23_i2",2.33157734156796,2.63625040712266,"lv3","i2","i2_lv3"
"99","lv3.23_v0",5.94724584222196,3.33923383198082,"lv3","v0","v0_lv3"
"100","lv3.23_v1",5.18473899479321,4.96234942891526,"lv3","v1","v1_lv3"
