sample,pop,mf,trt,vern_length,stage,group
wl2-38_v0,wl2,38,v0,0,v,wl2_v0
wl2-38_v1,wl2,38,v1,1,v,wl2_v1
wl2-41_i0,wl2,41,i0,0,i,wl2_i0
wl2-41_i1,wl2,41,i1,1,i,wl2_i1
wl2-41_i2,wl2,41,i2,2,i,wl2_i2
wl2-41_v0,wl2,41,v0,0,v,wl2_v0
wl2-41_v1,wl2,41,v1,1,v,wl2_v1
wl2-41_v2,wl2,41,v2,2,v,wl2_v2
yo1-19_i0,yo1,19,i0,0,i,yo1_i0
yo1-19_i1,yo1,19,i1,1,i,yo1_i1
yo1-19_i2,yo1,19,i2,2,i,yo1_i2
yo1-19_v0,yo1,19,v0,0,v,yo1_v0
yo1-19_v1,yo1,19,v1,1,v,yo1_v1
yo1-19_v2,yo1,19,v2,2,v,yo1_v2
yo1-20_i0,yo1,20,i0,0,i,yo1_i0
yo1-20_i1,yo1,20,i1,1,i,yo1_i1
yo1-20_v0,yo1,20,v0,0,v,yo1_v0
yo1-20_v1,yo1,20,v1,1,v,yo1_v1
yo1-20_v2,yo1,20,v2,2,v,yo1_v2
yo1-24_i0,yo1,24,i0,0,i,yo1_i0
yo1-24_i2,yo1,24,i2,2,i,yo1_i2
yo1-24_v0,yo1,24,v0,0,v,yo1_v0
yo1-24_v1,yo1,24,v1,1,v,yo1_v1
yo1-24_v2,yo1,24,v2,2,v,yo1_v2
yo1-25_i0,yo1,25,i0,0,i,yo1_i0
yo1-25_i2,yo1,25,i2,2,i,yo1_i2
yo1-25_v0,yo1,25,v0,0,v,yo1_v0
yo1-25_v1,yo1,25,v1,1,v,yo1_v1
yo1-25_v2,yo1,25,v2,2,v,yo1_v2
yo1-50_i0,yo1,50,i0,0,i,yo1_i0
yo1-50_i1,yo1,50,i1,1,i,yo1_i1
yo1-50_i2,yo1,50,i2,2,i,yo1_i2
yo1-50_v0,yo1,50,v0,0,v,yo1_v0
yo1-50_v1,yo1,50,v1,1,v,yo1_v1
yo1-50_v2,yo1,50,v2,2,v,yo1_v2
